phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,481.2688649659589,27.754057014223466,2336.9027824796653,8587.715973504854,978552.2549170471,740.0128013070718,3278.100883959727,2253.767194039501,234.38939813578742,261.5710180417864,39.055943897745536,1491.2790485355654,120.01254961777624,343.6281469708601,21.847496118046582,40.63319237104275,81.04227240249823,2.972013900471351,1.9642593700756585,0.0009697350979028875
2.0,0.1835,0.005,0.97625,0.01875,465.7210096131831,33.29745553932291,1599.2001105682134,12207.75386584086,970593.8854870022,908.6206807846845,5300.13503311072,3986.375781560572,555.9229938796435,356.74408240373594,50.58621432926376,1740.700737140466,109.02300144806816,317.7103846693116,22.76148724490483,33.15032023828447,74.06190901010297,3.672509363902032,3.4507877937437956,0.0018992619281390098
1.75,0.20962,0.005,0.973571429,0.021428571,462.78433462973385,34.6936259785062,1452.9423466576193,14164.913488144908,967594.2713562306,915.4842279922453,5860.020943128338,4389.532215390064,669.6387063062143,358.6502992536717,50.325663188161776,1739.5867826788365,99.57447798861969,298.49971985906046,22.15281573480202,28.769506565742432,72.1741705304174,3.47590412698539,3.958454714411538,0.0022032855193624525
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,,,,,,,,,,,,,,,,,,,,
0.19,1.93071,0.005,0.797631579,0.197368421,,,,,,,,,,,,,,,,,,,,
0.17,2.15785,0.005,0.774411765,0.220588235,,,,,,,,,,,,,,,,,,,,
0.15,2.44557,0.005,0.745,0.25,,,,,,,,,,,,,,,,,,,,
0.13,2.75147,0.005,0.706538462,0.288461538,,,,,,,,,,,,,,,,,,,,
0.11,3.33486,0.005,0.654090909,0.340909091,,,,,,,,,,,,,,,,,,,,
0.1,3.66835,0.005,0.62,0.375,,,,,,,,,,,,,,,,,,,,
