phi,O2_molecules,H2,H2_err,O2,O2_err,CO2,CO2_err,methane,methane_err,CO,CO_err,cyclopentane,cyclopentane_err,ethene,ethene_err,propene,propene_err,water,water_err,acetaldehyde,acetaldehyde_err,1-butene,1-butene_err,"1,3-butadiene","1,3-butadiene_er",acrolein,acrolein_err,cyclopentene,cyclopentene_err,"1,2-epoxycyclopentane","1,2-epoxycyclopentane_err",benzene,benzene_err,cyclopentadiene,cyclopentadiene_err
3,0.12233,222.84669,11.14233,11613.37095,580.66855,136.81781,6.84089,62.61435,3.13072,661.35449,33.06772,3647.13919,182.35696,1832.77706,91.63885,90.42518,4.52126,309.07232,15.45362,31.29021,1.56451,17.28504,0.86425,60.7269,3.03634,142.53605,7.1268,474.96078,23.74804,19.23169,0.96158,0.8091,0.04045,111.19319,5.55966
2,0.1835,316.70554,15.83528,16258.89605,812.9448,189.88528,9.49426,81.36378,4.06819,1708.53422,85.42671,2908.58009,145.429,2498.85678,124.94284,100.40084,5.02004,655.84727,32.79236,78.78848,3.93942,32.89496,1.64475,120.46747,6.02337,212.58809,10.6294,620.43259,31.02163,40.41801,2.0209,2.49536,0.12477,181.81024,9.09051
1,0.36699,345.21031,17.26052,31841.30601,1592.0653,435.11805,21.7559,138.42171,6.92109,3334.27464,166.71373,2224.45123,111.22256,2625.65558,131.28278,146.43707,7.32185,1246.67499,62.33375,139.87346,6.99367,36.20772,1.81039,164.03644,8.20182,222.93318,11.14666,702.76894,35.13845,67.63232,3.38162,2.90488,0.14524,296.7592,14.83796
0.9,0.40744,417.3506,20.86753,34354.80093,1717.74005,461.4297,23.07149,149.01476,7.45074,4019.16056,200.95803,2219.46368,110.97318,2630.70227,131.53511,142.67413,7.13371,1444.15024,72.20751,150.23528,7.51176,36.12754,1.80638,167.28201,8.3641,241.85248,12.09262,751.54899,37.57745,71.6348,3.58174,3.33198,0.1666,286.53433,14.32672
0.75,0.48933,403.42378,20.17119,42624.56684,2131.22834,511.69057,25.58453,155.17845,7.75892,4027.04392,201.3522,2256.80604,112.8403,2407.22503,120.36125,141.80773,7.09039,1568.61684,78.43084,158.34232,7.91712,34.20656,1.71033,168.44115,8.42206,232.12304,11.60615,783.74816,39.18741,75.73306,3.78665,2.82616,0.14131,305.3822,15.26911
0.6,0.61116,399.93993,19.997,53545.16322,2677.25816,695.42507,34.77125,159.31799,7.9659,4873.05354,243.65268,2123.86962,106.19348,2207.52032,110.37602,151.67447,7.58372,1929.59322,96.47966,171.25116,8.56256,33.84101,1.69205,171.34735,8.56737,227.9761,11.39881,791.35536,39.56777,77.93676,3.89684,2.6548,0.13274,329.85786,16.49289
0.5,0.73349,365.54175,18.27709,66132.00203,3306.6001,660.43511,33.02176,167.4084,8.37042,4606.83974,230.34199,2139.1722,106.95861,1895.55008,94.7775,146.85272,7.34264,1817.16548,90.85827,172.75094,8.63755,30.88222,1.54411,164.41331,8.22067,216.3332,10.81666,791.56676,39.57834,79.46529,3.97326,2.38398,0.1192,334.97602,16.7488
0.35,1.0482,388.25579,19.41279,95481.61394,4774.0807,949.74157,47.48708,172.36879,8.61844,5471.99395,273.5997,1824.11456,91.20573,1834.01621,91.70081,171.89878,8.59494,2413.85763,120.69288,198.51632,9.92582,33.12474,1.65624,174.07036,8.70352,216.02445,10.80122,788.89994,39.445,82.47637,4.12382,2.19173,0.10959,374.00303,18.70015
0.2,1.83423,281.63079,14.08154,175314.1661,8765.70831,961.17718,48.05886,142.63147,7.13157,5091.29239,254.56462,1753.25606,87.6628,1164.16131,58.20807,168.01153,8.40058,2344.43902,117.22195,196.37787,9.81889,27.16281,1.35814,157.06585,7.85329,182.32702,9.11635,750.99366,37.54968,76.73255,3.83663,1.56408,0.0782,361.38843,18.06942
0.13,2.75147,365.97517,18.29876,258664.7594,12933.23797,2038.1189,101.90595,164.56236,8.22812,8992.68525,449.63426,1099.20058,54.96003,1583.25638,79.16282,193.15808,9.6579,4393.29906,219.66495,238.03865,11.90193,30.76381,1.53819,149.20329,7.46016,188.2554,9.41277,601.99044,30.09952,63.50943,3.17547,1.48331,0.07417,354.72525,17.73626
0.1,3.66846,312.60541,15.63027,344398.4386,17219.92193,2075.41763,103.77088,165.58509,8.27925,9207.69143,460.38457,1019.53914,50.97696,1710.1324,85.50662,197.34649,9.86732,4698.78,234.939,242.94356,12.14718,29.35063,1.46753,146.51077,7.32554,186.21549,9.31077,583.79571,29.18979,69.94778,3.49739,1.1165,0.05583,349.29226,17.46461
